Service Name,Port Number,Transport Protocol
xmlrpc-beep,602,udp
idxp,603,udp
tunnel,604,udp
soap-beep,605,udp
urm,606,udp
nqs,607,udp
sift-uft,608,udp
npmp-trap,609,udp
npmp-local,610,udp
npmp-gui,611,udp
hmmp-ind,612,udp
hmmp-op,613,udp
sshell,614,udp
sco-inetmgr,615,udp
sco-sysmgr,616,udp
sco-dtmgr,617,udp
dei-icda,618,udp
compaq-evm,619,udp
sco-websrvrmgr,620,udp
escp-ip,621,udp
collaborator,622,udp
asf-rmcp,623,udp
cryptoadmin,624,udp
dec-dlm,625,udp
dec_dlm,625,udp
asia,626,udp
passgo-tivoli,627,udp
qmqp,628,udp
3com-amp3,629,udp
rda,630,udp
ipp,631,udp
bmpp,632,udp
servstat,633,udp
ginad,634,udp
rlzdbase,635,udp
ldaps,636,udp
lanserver,637,udp
mcns-sec,638,udp
msdp,639,udp
entrust-sps,640,udp
repcmd,641,udp
esro-emsdp,642,udp
sanity,643,udp
dwr,644,udp
pssc,645,udp
ldp,646,udp
dhcp-failover,647,udp
rrp,648,udp
cadview-3d,649,udp
obex,650,udp
ieee-mms,651,udp
hello-port,652,udp
repscmd,653,udp
aodv,654,udp
tinc,655,udp
spmp,656,udp
rmc,657,udp
tenfold,658,udp
mac-srvr-admin,660,udp
hap,661,udp
pftp,662,udp
purenoise,663,udp
asf-secure-rmcp,664,udp
sun-dr,665,udp
mdqs,666,udp
doom,666,udp
disclose,667,udp
mecomm,668,udp
meregister,669,udp
vacdsm-sws,670,udp
vacdsm-app,671,udp
vpps-qua,672,udp
cimplex,673,udp
acap,674,udp
dctp,675,udp
vpps-via,676,udp
vpp,677,udp
ggf-ncp,678,udp
mrm,679,udp
entrust-aaas,680,udp
entrust-aams,681,udp
xfr,682,udp
corba-iiop,683,udp
corba-iiop-ssl,684,udp
mdc-portmapper,685,udp
hcp-wismar,686,udp
asipregistry,687,udp
realm-rusd,688,udp
nmap,689,udp
vatp,690,udp
msexch-routing,691,udp
hyperwave-isp,692,udp
connendp,693,udp
ha-cluster,694,udp
ieee-mms-ssl,695,udp
rushd,696,udp
uuidgen,697,udp
olsr,698,udp
accessnetwork,699,udp
epp,700,udp
lmp,701,udp
iris-beep,702,udp
elcsd,704,udp
agentx,705,udp
silc,706,udp
borland-dsj,707,udp
entrust-kmsh,709,udp
entrust-ash,710,udp
cisco-tdp,711,udp
tbrpf,712,udp
iris-xpc,713,udp
iris-xpcs,714,udp
iris-lwz,715,udp
pana,716,udp
netviewdm1,729,udp
netviewdm2,730,udp
netviewdm3,731,udp
netgw,741,udp
netrcs,742,udp
flexlm,744,udp
fujitsu-dev,747,udp
ris-cm,748,udp
kerberos-adm,749,udp
loadav,750,udp
kerberos-iv,750,udp
pump,751,udp
qrh,752,udp
rrh,753,udp
tell,754,udp
nlogin,758,udp
con,759,udp
ns,760,udp
rxe,761,udp
quotad,762,udp
cycleserv,763,udp
omserv,764,udp
webster,765,udp
phonebook,767,udp
vid,769,udp
cadlock,770,udp
rtip,771,udp
cycleserv2,772,udp
notify,773,udp
acmaint-dbd,774,udp
acmaint_dbd,774,udp
acmaint-transd,775,udp
acmaint_transd,775,udp
wpages,776,udp
multiling-http,777,udp
wpgs,780,udp
mdbs-daemon,800,udp
mdbs_daemon,800,udp
device,801,udp
mbap-s,802,udp
fcp-udp,810,udp
itm-mcell-s,828,udp
pkix-3-ca-ra,829,udp
netconf-ssh,830,udp
netconf-beep,831,udp
netconfsoaphttp,832,udp
netconfsoapbeep,833,udp
dhcp-failover2,847,udp
gdoi,848,udp
domain-s,853,udp
dlep,854,udp
iscsi,860,udp
owamp-test,861,udp
twamp-test,862,udp
rsync,873,udp
iclcnet-locate,886,udp
iclcnet-svinfo,887,udp
iclcnet_svinfo,887,udp
accessbuilder,888,udp
omginitialrefs,900,udp
smpnameres,901,udp
ideafarm-door,902,udp
ideafarm-panic,903,udp
kink,910,udp
xact-backup,911,udp
apex-mesh,912,udp
apex-edge,913,udp
rift-lies,914,udp
rift-ties,915,udp
ftps-data,989,udp
ftps,990,udp
nas,991,udp
telnets,992,udp
pop3s,995,udp
vsinet,996,udp
maitrd,997,udp
puparp,998,udp
applix,999,udp
puprouter,999,udp
cadlock2,1000,udp
surf,1010,udp
exp1,1021,udp
exp2,1022,udp
blackjack,1025,udp
cap,1026,udp
6a44,1027,udp
solid-mux,1029,udp
netinfo-local,1033,udp
activesync,1034,udp
mxxrlogin,1035,udp
nsstp,1036,udp
ams,1037,udp
mtqp,1038,udp
sbl,1039,udp
netarx,1040,udp
danf-ak2,1041,udp
afrog,1042,udp
boinc-client,1043,udp
dcutility,1044,udp
fpitp,1045,udp
wfremotertm,1046,udp
neod1,1047,udp
neod2,1048,udp
td-postman,1049,udp
cma,1050,udp
optima-vnet,1051,udp
ddt,1052,udp
remote-as,1053,udp
brvread,1054,udp
ansyslmd,1055,udp
vfo,1056,udp
startron,1057,udp
nim,1058,udp
nimreg,1059,udp
polestar,1060,udp
kiosk,1061,udp
veracity,1062,udp
kyoceranetdev,1063,udp
jstel,1064,udp
syscomlan,1065,udp
fpo-fns,1066,udp
instl-boots,1067,udp
instl_boots,1067,udp
instl-bootc,1068,udp
instl_bootc,1068,udp
cognex-insight,1069,udp
gmrupdateserv,1070,udp
bsquare-voip,1071,udp
cardax,1072,udp
bridgecontrol,1073,udp
warmspotMgmt,1074,udp
rdrmshc,1075,udp
dab-sti-c,1076,udp
imgames,1077,udp
avocent-proxy,1078,udp
asprovatalk,1079,udp
socks,1080,udp
pvuniwien,1081,udp
amt-esd-prot,1082,udp
ansoft-lm-1,1083,udp
ansoft-lm-2,1084,udp
webobjects,1085,udp
cplscrambler-lg,1086,udp
cplscrambler-in,1087,udp
cplscrambler-al,1088,udp
ff-annunc,1089,udp
ff-fms,1090,udp
ff-sm,1091,udp
obrpd,1092,udp
proofd,1093,udp
rootd,1094,udp
nicelink,1095,udp
cnrprotocol,1096,udp
sunclustermgr,1097,udp
rmiactivation,1098,udp
rmiregistry,1099,udp
mctp,1100,udp
pt2-discover,1101,udp
adobeserver-1,1102,udp
adobeserver-2,1103,udp
xrl,1104,udp
ftranhc,1105,udp
isoipsigport-1,1106,udp
